date,exchange,deal_type,symbol,security_name,client_name,buy_sell,quantity,price
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,J4S FINANCIAL SOLUTIONS LLP,BUY,541318,148.39
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,BLITZQUANT RESEARCH LLP,BUY,657969,149.9
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,1489966,148.66
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,609909,149.62
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,HRTI PRIVATE LIMITED,BUY,585163,148.2
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,IRAGE BROKING SERVICES LLP,BUY,813517,149.05
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,2917206,149.33
26-AUG-2026,NSE,bulk_deals,RGL,Renaissance Global Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,1702359,148.47
26-AUG-2026,NSE,bulk_deals,RUBICON,Rubicon Research Limited,ARANDA INVESTMENTS PTE. LTD.,BUY,843372,1660.0
26-AUG-2026,NSE,bulk_deals,SHAH,Shah Metacorp Limited,NEO APEX SHARE BROKING SERVICES LLP,BUY,12117771,2.56
26-AUG-2026,NSE,bulk_deals,SHAH,Shah Metacorp Limited,DHANJIT REAL TRADE LLP,BUY,14995183,2.9
26-AUG-2026,NSE,bulk_deals,SHREEKARNI,Shree Karni Fabcom Ltd,MANSUKH SECURITIES & FINANCE LIMITED,BUY,42900,347.18
26-AUG-2026,NSE,bulk_deals,SILGO,Silgo Retail Limited,NITIN JAIN,BUY,200000,72.35
26-AUG-2026,NSE,bulk_deals,SUNSHINE,Sunshine Pictures Limited,ARIHANT CAPITAL MARKETS LIMITED,BUY,276889,374.69
