date,exchange,deal_type,symbol,security_name,client_name,buy_sell,quantity,price
26/08/2026,BSE,bulk,540376,DMART,AMERICAN FUNDS INSURANCE SERIES GLOBAL GROWTH AND INCOME FUND,S,6764623.0,3750.58
26/08/2026,BSE,bulk,531471,DUKEOFS,AKHIL DILIP SANGHAVI,B,50000.0,54.48
26/08/2026,BSE,bulk,531486,FILME,VISAGAR FINANCIAL SERVICES LIMITED,S,190000.0,1.25
26/08/2026,BSE,bulk,544885,GAJA,IRAGE BROKING SERVICES LLP,S,467039.0,176.72
26/08/2026,BSE,bulk,544885,GAJA,IRAGE BROKING SERVICES LLP,B,1014326.0,176.68
26/08/2026,BSE,bulk,531911,GALAGEX,JATAN INVESTMENTS,B,100000.0,70.0
26/08/2026,BSE,bulk,506109,GENESYS,IRAGE BROKING SERVICES LLP,B,138941.0,245.78
26/08/2026,BSE,bulk,506109,GENESYS,IRAGE BROKING SERVICES LLP,S,323491.0,243.48
26/08/2026,BSE,bulk,514386,GUJCOTEX,L7 HITECH PRIVATE LIMITED,B,854454.0,3.38
26/08/2026,BSE,bulk,514386,GUJCOTEX,L7 HITECH PRIVATE LIMITED,S,110000.0,3.39
26/08/2026,BSE,bulk,514386,GUJCOTEX,JAGID VANITABEN RAJENDRAPRASAD,B,500000.0,3.39
26/08/2026,BSE,bulk,514386,GUJCOTEX,JAGID VANITABEN RAJENDRAPRASAD,S,483867.0,3.39
26/08/2026,BSE,bulk,541627,GUJWIND,KREON FINNANCIAL SERVICES LIMITED,B,43240.0,10.21
26/08/2026,BSE,bulk,508918,IRONWOOD,SANDEEP JANARDAN PANDEY,B,86501.0,54.88
26/08/2026,BSE,bulk,538765,JSHL,MUKESH CHIMANLAL DESAI,B,50000.0,2.23
26/08/2026,BSE,bulk,538765,JSHL,DARSHANA MUKESH DESAI,S,50000.0,2.23
26/08/2026,BSE,bulk,526935,KALIND,ABHISHEK ASHVINBHAI KAMDAR,B,5100000.0,4.19
26/08/2026,BSE,bulk,539679,KAPILRAJ,SURAJ PANCHAL,S,1853029.0,1.56
26/08/2026,BSE,bulk,539679,KAPILRAJ,MANOJ KUMAR JAIN,B,645000.0,1.55
26/08/2026,BSE,bulk,539679,KAPILRAJ,VED PARKASH GOYAL (HUF),B,600000.0,1.61
26/08/2026,BSE,bulk,539408,KUBERJI,NEO APEX SHARE BROKING SERVICES LLP,B,60000.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,RV FINTECH,S,22076.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,EPITOME TRADING AND INVESTMENTS,B,20000.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,PARESH DHIRAJLAL SHAH,S,66000.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,RANJANA KANDA,B,18000.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,YOGESHKUMAR RASIKLAL SANGHAVI,S,35000.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,NILESHKUMAR MADHUKARBHAI JOSHI,S,32448.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,JAINAM UDAY SHAH,B,45308.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,JINAL VIJAY SHAH,B,35000.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,SALASAR VENTURES .,S,29006.0,48.58
26/08/2026,BSE,bulk,539408,KUBERJI,DHANUSH DILP KUMAR SURANA SURANA,S,22000.0,48.58
26/08/2026,BSE,bulk,544835,MALA,KEYA STOCKS AND FINANCIAL SERVICES PRIVATE LIMITED,B,72000.0,64.0
26/08/2026,BSE,bulk,544835,MALA,VISIONARY CAPITAL APPRECIATION FUND,S,70000.0,64.0
26/08/2026,BSE,bulk,526251,MIDEASTP,RAJNIKANT SOMNATHBHAI MISTRY,S,28276.0,34.0
26/08/2026,BSE,bulk,526251,MIDEASTP,RAJNIKANT SOMNATHBHAI MISTRY,B,2000.0,34.0
26/08/2026,BSE,bulk,526251,MIDEASTP,JIGNESH SURESH MODI,B,47000.0,34.0
26/08/2026,BSE,bulk,544883,MOPSHOP,ASHMIT  KABRA,B,70000.0,137.0
26/08/2026,BSE,bulk,530805,OIVL,NEELRAMESHBHAIGAJERA,S,190106.0,6.82
26/08/2026,BSE,bulk,530805,OIVL,NEELRAMESHBHAIGAJERA,B,339932.0,6.87
26/08/2026,BSE,bulk,530805,OIVL,CHITRANK MURARKA (HUF),S,168711.0,6.9
26/08/2026,BSE,bulk,532808,PGIL,DEEPAK KUMAR SETH,S,550000.0,2280.51
26/08/2026,BSE,bulk,526490,PRATIK,DEEPTI GHANSHYAM GAVALI,S,467791.0,4.41
26/08/2026,BSE,bulk,500360,RAPICUT,MAHENDRA GIRDHARILAL WADHWANI,S,34745.0,370.8
26/08/2026,BSE,bulk,539922,RGIL,NATVARLAL HIRJI BATHIA,S,100000.0,299.29
26/08/2026,BSE,bulk,539922,RGIL,ARIKA SECURITIES PRIVATE LIMITED,B,100000.0,299.29
26/08/2026,BSE,bulk,544578,RUBICON,HDFC MUTUAL FUND,B,4878009.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,KOTAK MAHINDRA MUTUAL FUND,B,1656624.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,ICICI PRUDENTIAL MUTUAL FUND,B,1807226.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,SBI MUTUAL FUND,B,1204815.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,NOMURA INDIA INVESTMENT FUND MOTHER FUND,B,1203999.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,AXIS MUTUAL FUND,B,903611.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,TIMF HOLDINGS,B,903610.0,1660.0
26/08/2026,BSE,bulk,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,13009701.0,1660.0
26/08/2026,BSE,bulk,544869,SHAMFOAM,NIRAJ RAJNIKANT SHAH,S,500000.0,72.8
26/08/2026,BSE,bulk,544869,SHAMFOAM,SANJAY POPATLAL JAIN,B,532000.0,72.8
26/08/2026,BSE,bulk,544869,SHAMFOAM,HARYANA REFRACTORIES PRIVATE LIMITED,B,69000.0,72.8
26/08/2026,BSE,bulk,519566,SIMRAN,AMIT  GARG,B,36000.0,154.64
26/08/2026,BSE,bulk,511447,SYLPH,MERATASK ENTERPRISES PRIVATE LIMITED,S,7004990.0,0.2
26/08/2026,BSE,bulk,512529,VIYASH,ARTHKUMBH VENTURES LLP,B,2340000.0,263.2
26/08/2026,BSE,bulk,506122,VOLKAI,CORPORATE MERCHANT BANKERS LIMITED,B,20871.0,149.12
26/08/2026,BSE,bulk,506122,VOLKAI,KREON FINNANCIAL SERVICES LIMITED,B,7996.0,137.23
26/08/2026,BSE,bulk,506122,VOLKAI,KREON FINNANCIAL SERVICES LIMITED,S,2000.0,148.9
26/08/2026,BSE,bulk,506122,VOLKAI,GREEN PEAKS ENTERPRISES LLP,B,7946.0,143.2
26/08/2026,BSE,bulk,506122,VOLKAI,GREEN PEAKS ENTERPRISES LLP,S,7946.0,143.79
26/08/2026,BSE,bulk,538451,WORTH,CHETAN KIRITBHAI MEHTA,S,7922524.0,3.18
26/08/2026,BSE,bulk,538451,WORTH,MAHEVARSH FINCON PRIVATE LIMITED,B,2900000.0,3.21
26/08/2026,BSE,bulk,531663,YUVRAAJHPL,ARUP CHANDRA & SONS,S,471658.0,8.5
26/08/2026,BSE,block,544578,RUBICON,HDFC MUTUAL FUND,B,4878009.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,KOTAK MAHINDRA MUTUAL FUND,B,1656624.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,ICICI PRUDENTIAL MUTUAL FUND,B,1807226.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,SBI MUTUAL FUND,B,1204815.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,NOMURA INDIA INVESTMENT FUND MOTHER FUND,B,1203999.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,"VEMF-A , LP",B,150605.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,AXIS MUTUAL FUND,B,903611.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,TIMF HOLDINGS,B,903610.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,PI OPPORTUNITIES AIF V LLP,B,301202.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,150605.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,301202.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,903610.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,903611.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,1203999.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,1204815.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,1656624.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,1807226.0,1660.0
26/08/2026,BSE,block,544578,RUBICON,GENERAL ATLANTIC SINGAPORE RR PTE LTD,S,4878009.0,1660.0
26-AUG-2026,NSE,bulk_deals,AAREYDRUGS,Aarey Drugs & Pharm Ltd,VAYUMIND INNOVATIONS PRIVATE LIMITED,BUY,154471,80.45
26-AUG-2026,NSE,bulk_deals,AASTHA,Aastha Spintex Limited,JAGID VANITABEN RAJENDRAPRASAD,BUY,218459,78.11
26-AUG-2026,NSE,bulk_deals,AASTHA,Aastha Spintex Limited,MADHAV ENTERPRISE,BUY,300000,74.0
26-AUG-2026,NSE,bulk_deals,AASTHA,Aastha Spintex Limited,L7 HITECH PRIVATE LIMITED,BUY,557959,79.5
26-AUG-2026,NSE,bulk_deals,AASTHA,Aastha Spintex Limited,MAHARASTRA ENTERPRISE,BUY,300000,74.0
26-AUG-2026,NSE,bulk_deals,ATALREAL,Atal Realtech Limited,JAGID VANITABEN RAJENDRAPRASAD,BUY,643395,34.65
26-AUG-2026,NSE,bulk_deals,ATALREAL,Atal Realtech Limited,KARAN RASHMIKANT SHAH,BUY,1133834,34.3
26-AUG-2026,NSE,bulk_deals,ATALREAL,Atal Realtech Limited,MAHESH MULCHAND WAGHELA,BUY,700000,34.47
26-AUG-2026,NSE,bulk_deals,ATALREAL,Atal Realtech Limited,QE SECURITIES LLP,BUY,691381,34.35
26-AUG-2026,NSE,bulk_deals,ATALREAL,Atal Realtech Limited,HRTI PRIVATE LIMITED,BUY,521017,34.2
26-AUG-2026,NSE,bulk_deals,BANG,Bang Overseas Limited,IRAGE BROKING SERVICES LLP,BUY,101216,34.5
26-AUG-2026,NSE,bulk_deals,BANG,Bang Overseas Limited,ORION STOCKS LTD,BUY,377873,33.98
26-AUG-2026,NSE,bulk_deals,BIOFILCHEM,Biofil Chemicals & Pharm,IRAGE BROKING SERVICES LLP,BUY,153082,32.76
26-AUG-2026,NSE,bulk_deals,BIOFILCHEM,Biofil Chemicals & Pharm,ORION STOCKS LTD,BUY,61787,32.46
26-AUG-2026,NSE,bulk_deals,BLEL,Behari Lal Engineering L,MATHISYS QUANTCAP LLP,BUY,292377,449.06
26-AUG-2026,NSE,bulk_deals,BLEL,Behari Lal Engineering L,MICROCURVES TRADING PRIVATE LIMITED,BUY,251533,459.58
26-AUG-2026,NSE,bulk_deals,BLEL,Behari Lal Engineering L,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,215532,459.74
26-AUG-2026,NSE,bulk_deals,BLEL,Behari Lal Engineering L,QE SECURITIES LLP,BUY,258916,447.81
26-AUG-2026,NSE,bulk_deals,BURNPUR,Burnpur Cement Limited,LEKHRAJ PARASMAL KANUNGO,BUY,100000,13.06
26-AUG-2026,NSE,bulk_deals,BVCL,Barak Valley Cements Limi,IRAGE BROKING SERVICES LLP,BUY,127694,44.23
26-AUG-2026,NSE,bulk_deals,BVCL,Barak Valley Cements Limi,ORION STOCKS LTD,BUY,19600,44.55
26-AUG-2026,NSE,bulk_deals,CYIENT,Cyient Limited,QE SECURITIES LLP,BUY,528376,1041.8
26-AUG-2026,NSE,bulk_deals,DWARKESH,Dwarikesh Sugar Industrie,HRTI PRIVATE LIMITED,BUY,910889,53.71
26-AUG-2026,NSE,bulk_deals,FASCINATE,Fascinate Textiles Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,342400,103.66
26-AUG-2026,NSE,bulk_deals,FASCINATE,Fascinate Textiles Ltd,GIRIJADHAVA VYAPAAR PRIVATE LIMITED,BUY,229600,103.65
26-AUG-2026,NSE,bulk_deals,FMGOETZE,Federal-Mogul Goetze (I),IRAGE BROKING SERVICES LLP,BUY,555321,562.67
26-AUG-2026,NSE,bulk_deals,FMGOETZE,Federal-Mogul Goetze (I),QE SECURITIES LLP,BUY,532421,566.57
26-AUG-2026,NSE,bulk_deals,FMGOETZE,Federal-Mogul Goetze (I),JUNOMONETA FINSOL PRIVATE LIMITED,BUY,745722,563.98
26-AUG-2026,NSE,bulk_deals,FMGOETZE,Federal-Mogul Goetze (I),MICROCURVES TRADING PRIVATE LIMITED,BUY,1077118,564.02
26-AUG-2026,NSE,bulk_deals,FMGOETZE,Federal-Mogul Goetze (I),ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,556416,563.22
26-AUG-2026,NSE,bulk_deals,FMGOETZE,Federal-Mogul Goetze (I),NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,559273,566.78
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,GRT STRATEGIC VENTURES LLP,BUY,1514533,178.34
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,IRAGE BROKING SERVICES LLP,BUY,1235165,177.81
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,INVESCO MUTUAL FUND,BUY,950000,185.0
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,2272405,179.04
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED,BUY,1219782,180.37
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,INVESCO MUTUAL FUND,BUY,6500000,185.0
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,INVESCO MUTUAL FUND,BUY,1145049,174.5
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,893454,175.94
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,808917,174.67
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,GOLDMINE STOCKS PRIVATE LIMITED,BUY,1127623,175.34
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,919600,172.16
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,1197940,176.51
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,829301,173.55
26-AUG-2026,NSE,bulk_deals,GAJA,Gaja Alt Asset Mgt Ltd,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,BUY,1387745,174.06
26-AUG-2026,NSE,bulk_deals,GATECH,GACM Technologies Limited,RATHOD DIGVIJAYSINH RAJENDRASINH,BUY,1545294,1.0
26-AUG-2026,NSE,bulk_deals,GENCON,Generic Eng Cons Proj Ltd,CHAUBARA EATS PRIVATE LIMITED,BUY,311212,45.58
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,SANDEEP NARESH SHAH,BUY,225127,248.84
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,MICROCURVES TRADING PRIVATE LIMITED,BUY,1002887,243.82
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,LAXMI TRADE SOLUTIONS,BUY,257976,254.43
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,359866,241.93
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,INDRA KIRAN VENTURES,BUY,247422,253.92
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,VINSUL MAKARDI LTD,BUY,217530,244.74
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,HRTI PRIVATE LIMITED,BUY,212275,245.77
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,QE SECURITIES LLP,BUY,494411,247.69
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,IRAGE BROKING SERVICES LLP,BUY,426706,243.16
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,217253,237.85
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,450372,245.77
26-AUG-2026,NSE,bulk_deals,GENESYS,Genesys International Cor,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,706878,244.3
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,D3 STOCK VISION LLP,BUY,3587620,51.34
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,1124898,51.36
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,6620347,51.18
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,PRIJAL TRADEFIN LLP,BUY,1000000,51.6
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,SAHASTRAA ADVISORS PRIVATE LIMITED,BUY,958262,51.62
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,SETU SECURITIES PVT LTD,BUY,2500085,51.16
26-AUG-2026,NSE,bulk_deals,INDOTHAI,Indo Thai Sec Ltd,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,4099670,51.2
26-AUG-2026,NSE,bulk_deals,KCK,Kck Industries Limited,GIRIRAJ STOCK BROKING PRIVATE LIMITED,BUY,330000,14.06
26-AUG-2026,NSE,bulk_deals,LAMOSAIC,Lamosaic India Limited,NRIP JAIN,BUY,69000,56.96
